Name,Email,Category,Date,Time,Location,Complaint Description
User_8,user8@example.com,Debit/Credit Card Fraud/SIM Swap Fraud,2025-03-08,17:00 AM,City_3,Sample complaint 8 about debit/credit card fraud/sim swap fraud.
User_9,user9@example.com,Debit/Credit Card Fraud/SIM Swap Fraud,2025-03-09,18:00 AM,City_4,Sample complaint 9 about debit/credit card fraud/sim swap fraud.
User_10,user10@example.com,Debit/Credit Card Fraud/SIM Swap Fraud,2025-03-10,19:00 AM,City_5,Sample complaint 10 about debit/credit card fraud/sim swap fraud.
User_1,user1@example.com,E-Mail Phishing,2025-03-01,10:00 AM,City_1,Sample complaint 1 about e-mail phishing.
User_2,user2@example.com,E-Mail Phishing,2025-03-02,11:00 AM,City_2,Sample complaint 2 about e-mail phishing.
User_3,user3@example.com,E-Mail Phishing,2025-03-03,12:00 AM,City_3,Sample complaint 3 about e-mail phishing.
User_4,user4@example.com,E-Mail Phishing,2025-03-04,13:00 AM,City_4,Sample complaint 4 about e-mail phishing.
User_5,user5@example.com,E-Mail Phishing,2025-03-05,14:00 AM,City_5,Sample complaint 5 about e-mail phishing.
User_6,user6@example.com,E-Mail Phishing,2025-03-06,15:00 AM,City_1,Sample complaint 6 about e-mail phishing.
User_7,user7@example.com,E-Mail Phishing,2025-03-07,16:00 AM,City_2,Sample complaint 7 about e-mail phishing.
User_8,user8@example.com,E-Mail Phishing,2025-03-08,17:00 AM,City_3,Sample complaint 8 about e-mail phishing.
User_9,user9@example.com,E-Mail Phishing,2025-03-09,18:00 AM,City_4,Sample complaint 9 about e-mail phishing.
User_10,user10@example.com,E-Mail Phishing,2025-03-10,19:00 AM,City_5,Sample complaint 10 about e-mail phishing.
User_1,user1@example.com,E-Wallet Related Fraud,2025-03-01,10:00 AM,City_1,Sample complaint 1 about e-wallet related fraud.
User_2,user2@example.com,E-Wallet Related Fraud,2025-03-02,11:00 AM,City_2,Sample complaint 2 about e-wallet related fraud.
User_3,user3@example.com,E-Wallet Related Fraud,2025-03-03,12:00 AM,City_3,Sample complaint 3 about e-wallet related fraud.
User_4,user4@example.com,E-Wallet Related Fraud,2025-03-04,13:00 AM,City_4,Sample complaint 4 about e-wallet related fraud.
User_5,user5@example.com,E-Wallet Related Fraud,2025-03-05,14:00 AM,City_5,Sample complaint 5 about e-wallet related fraud.
User_6,user6@example.com,E-Wallet Related Fraud,2025-03-06,15:00 AM,City_1,Sample complaint 6 about e-wallet related fraud.
User_7,user7@example.com,E-Wallet Related Fraud,2025-03-07,16:00 AM,City_2,Sample complaint 7 about e-wallet related fraud.
User_8,user8@example.com,E-Wallet Related Fraud,2025-03-08,17:00 AM,City_3,Sample complaint 8 about e-wallet related fraud.
User_9,user9@example.com,E-Wallet Related Fraud,2025-03-09,18:00 AM,City_4,Sample complaint 9 about e-wallet related fraud.
User_10,user10@example.com,E-Wallet Related Fraud,2025-03-10,19:00 AM,City_5,Sample complaint 10 about e-wallet related fraud.
User_1,user1@example.com,Email Hacking,2025-03-01,10:00 AM,City_1,Sample complaint 1 about email hacking.
User_2,user2@example.com,Email Hacking,2025-03-02,11:00 AM,City_2,Sample complaint 2 about email hacking.
User_3,user3@example.com,Email Hacking,2025-03-03,12:00 AM,City_3,Sample complaint 3 about email hacking.
User_4,user4@example.com,Email Hacking,2025-03-04,13:00 AM,City_4,Sample complaint 4 about email hacking.
User_5,user5@example.com,Email Hacking,2025-03-05,14:00 AM,City_5,Sample complaint 5 about email hacking.
User_6,user6@example.com,Email Hacking,2025-03-06,15:00 AM,City_1,Sample complaint 6 about email hacking.
User_7,user7@example.com,Email Hacking,2025-03-07,16:00 AM,City_2,Sample complaint 7 about email hacking.
User_8,user8@example.com,Email Hacking,2025-03-08,17:00 AM,City_3,Sample complaint 8 about email hacking.
User_9,user9@example.com,Email Hacking,2025-03-09,18:00 AM,City_4,Sample complaint 9 about email hacking.
User_10,user10@example.com,Email Hacking,2025-03-10,19:00 AM,City_5,Sample complaint 10 about email hacking.
User_1,user1@example.com,Fake/Impersonating Profile,2025-03-01,10:00 AM,City_1,Sample complaint 1 about fake/impersonating profile.
User_2,user2@example.com,Fake/Impersonating Profile,2025-03-02,11:00 AM,City_2,Sample complaint 2 about fake/impersonating profile.
User_3,user3@example.com,Fake/Impersonating Profile,2025-03-03,12:00 AM,City_3,Sample complaint 3 about fake/impersonating profile.
User_4,user4@example.com,Fake/Impersonating Profile,2025-03-04,13:00 AM,City_4,Sample complaint 4 about fake/impersonating profile.
User_5,user5@example.com,Fake/Impersonating Profile,2025-03-05,14:00 AM,City_5,Sample complaint 5 about fake/impersonating profile.
User_6,user6@example.com,Fake/Impersonating Profile,2025-03-06,15:00 AM,City_1,Sample complaint 6 about fake/impersonating profile.
User_7,user7@example.com,Fake/Impersonating Profile,2025-03-07,16:00 AM,City_2,Sample complaint 7 about fake/impersonating profile.
User_8,user8@example.com,Fake/Impersonating Profile,2025-03-08,17:00 AM,City_3,Sample complaint 8 about fake/impersonating profile.
User_9,user9@example.com,Fake/Impersonating Profile,2025-03-09,18:00 AM,City_4,Sample complaint 9 about fake/impersonating profile.
User_10,user10@example.com,Fake/Impersonating Profile,2025-03-10,19:00 AM,City_5,Sample complaint 10 about fake/impersonating profile.
User_1,user1@example.com,Fraud Call/Vishing,2025-03-01,10:00 AM,City_1,Sample complaint 1 about fraud call/vishing.
User_2,user2@example.com,Fraud Call/Vishing,2025-03-02,11:00 AM,City_2,Sample complaint 2 about fraud call/vishing.
User_3,user3@example.com,Fraud Call/Vishing,2025-03-03,12:00 AM,City_3,Sample complaint 3 about fraud call/vishing.
User_4,user4@example.com,Fraud Call/Vishing,2025-03-04,13:00 AM,City_4,Sample complaint 4 about fraud call/vishing.
User_5,user5@example.com,Fraud Call/Vishing,2025-03-05,14:00 AM,City_5,Sample complaint 5 about fraud call/vishing.
User_6,user6@example.com,Fraud Call/Vishing,2025-03-06,15:00 AM,City_1,Sample complaint 6 about fraud call/vishing.
User_7,user7@example.com,Fraud Call/Vishing,2025-03-07,16:00 AM,City_2,Sample complaint 7 about fraud call/vishing.
User_8,user8@example.com,Fraud Call/Vishing,2025-03-08,17:00 AM,City_3,Sample complaint 8 about fraud call/vishing.
User_9,user9@example.com,Fraud Call/Vishing,2025-03-09,18:00 AM,City_4,Sample complaint 9 about fraud call/vishing.
User_10,user10@example.com,Fraud Call/Vishing,2025-03-10,19:00 AM,City_5,Sample complaint 10 about fraud call/vishing.
User_1,user1@example.com,Impersonating Email,2025-03-01,10:00 AM,City_1,Sample complaint 1 about impersonating email.
User_2,user2@example.com,Impersonating Email,2025-03-02,11:00 AM,City_2,Sample complaint 2 about impersonating email.
User_3,user3@example.com,Impersonating Email,2025-03-03,12:00 AM,City_3,Sample complaint 3 about impersonating email.
User_4,user4@example.com,Impersonating Email,2025-03-04,13:00 AM,City_4,Sample complaint 4 about impersonating email.
User_5,user5@example.com,Impersonating Email,2025-03-05,14:00 AM,City_5,Sample complaint 5 about impersonating email.
User_6,user6@example.com,Impersonating Email,2025-03-06,15:00 AM,City_1,Sample complaint 6 about impersonating email.
User_7,user7@example.com,Impersonating Email,2025-03-07,16:00 AM,City_2,Sample complaint 7 about impersonating email.
User_8,user8@example.com,Impersonating Email,2025-03-08,17:00 AM,City_3,Sample complaint 8 about impersonating email.
User_9,user9@example.com,Impersonating Email,2025-03-09,18:00 AM,City_4,Sample complaint 9 about impersonating email.
User_10,user10@example.com,Impersonating Email,2025-03-10,19:00 AM,City_5,Sample complaint 10 about impersonating email.
User_1,user1@example.com,Internet Banking Related Fraud,2025-03-01,10:00 AM,City_1,Sample complaint 1 about internet banking related fraud.
User_2,user2@example.com,Internet Banking Related Fraud,2025-03-02,11:00 AM,City_2,Sample complaint 2 about internet banking related fraud.
User_3,user3@example.com,Internet Banking Related Fraud,2025-03-03,12:00 AM,City_3,Sample complaint 3 about internet banking related fraud.
User_4,user4@example.com,Internet Banking Related Fraud,2025-03-04,13:00 AM,City_4,Sample complaint 4 about internet banking related fraud.
User_5,user5@example.com,Internet Banking Related Fraud,2025-03-05,14:00 AM,City_5,Sample complaint 5 about internet banking related fraud.
User_6,user6@example.com,Internet Banking Related Fraud,2025-03-06,15:00 AM,City_1,Sample complaint 6 about internet banking related fraud.
User_7,user7@example.com,Internet Banking Related Fraud,2025-03-07,16:00 AM,City_2,Sample complaint 7 about internet banking related fraud.
User_8,user8@example.com,Internet Banking Related Fraud,2025-03-08,17:00 AM,City_3,Sample complaint 8 about internet banking related fraud.
User_9,user9@example.com,Internet Banking Related Fraud,2025-03-09,18:00 AM,City_4,Sample complaint 9 about internet banking related fraud.
User_10,user10@example.com,Internet Banking Related Fraud,2025-03-10,19:00 AM,City_5,Sample complaint 10 about internet banking related fraud.
User_1,user1@example.com,Intimidating Email,2025-03-01,10:00 AM,City_1,Sample complaint 1 about intimidating email.
User_2,user2@example.com,Intimidating Email,2025-03-02,11:00 AM,City_2,Sample complaint 2 about intimidating email.
User_3,user3@example.com,Intimidating Email,2025-03-03,12:00 AM,City_3,Sample complaint 3 about intimidating email.
User_4,user4@example.com,Intimidating Email,2025-03-04,13:00 AM,City_4,Sample complaint 4 about intimidating email.
User_5,user5@example.com,Intimidating Email,2025-03-05,14:00 AM,City_5,Sample complaint 5 about intimidating email.
User_6,user6@example.com,Intimidating Email,2025-03-06,15:00 AM,City_1,Sample complaint 6 about intimidating email.
User_7,user7@example.com,Intimidating Email,2025-03-07,16:00 AM,City_2,Sample complaint 7 about intimidating email.
User_8,user8@example.com,Intimidating Email,2025-03-08,17:00 AM,City_3,Sample complaint 8 about intimidating email.
User_9,user9@example.com,Intimidating Email,2025-03-09,18:00 AM,City_4,Sample complaint 9 about intimidating email.
User_10,user10@example.com,Intimidating Email,2025-03-10,19:00 AM,City_5,Sample complaint 10 about intimidating email.
User_1,user1@example.com,Online Gambling,2025-03-01,10:00 AM,City_1,Sample complaint 1 about online gambling.
User_2,user2@example.com,Online Gambling,2025-03-02,11:00 AM,City_2,Sample complaint 2 about online gambling.
User_3,user3@example.com,Online Gambling,2025-03-03,12:00 AM,City_3,Sample complaint 3 about online gambling.
User_4,user4@example.com,Online Gambling,2025-03-04,13:00 AM,City_4,Sample complaint 4 about online gambling.
User_5,user5@example.com,Online Gambling,2025-03-05,14:00 AM,City_5,Sample complaint 5 about online gambling.
User_6,user6@example.com,Online Gambling,2025-03-06,15:00 AM,City_1,Sample complaint 6 about online gambling.
User_7,user7@example.com,Online Gambling,2025-03-07,16:00 AM,City_2,Sample complaint 7 about online gambling.
User_8,user8@example.com,Online Gambling,2025-03-08,17:00 AM,City_3,Sample complaint 8 about online gambling.
User_9,user9@example.com,Online Gambling,2025-03-09,18:00 AM,City_4,Sample complaint 9 about online gambling.
User_10,user10@example.com,Online Gambling,2025-03-10,19:00 AM,City_5,Sample complaint 10 about online gambling.
User_1,user1@example.com,Online Job Fraud,2025-03-01,10:00 AM,City_1,Sample complaint 1 about online job fraud.
User_2,user2@example.com,Online Job Fraud,2025-03-02,11:00 AM,City_2,Sample complaint 2 about online job fraud.
User_3,user3@example.com,Online Job Fraud,2025-03-03,12:00 AM,City_3,Sample complaint 3 about online job fraud.
User_4,user4@example.com,Online Job Fraud,2025-03-04,13:00 AM,City_4,Sample complaint 4 about online job fraud.
User_5,user5@example.com,Online Job Fraud,2025-03-05,14:00 AM,City_5,Sample complaint 5 about online job fraud.
User_6,user6@example.com,Online Job Fraud,2025-03-06,15:00 AM,City_1,Sample complaint 6 about online job fraud.
User_7,user7@example.com,Online Job Fraud,2025-03-07,16:00 AM,City_2,Sample complaint 7 about online job fraud.
User_8,user8@example.com,Online Job Fraud,2025-03-08,17:00 AM,City_3,Sample complaint 8 about online job fraud.
User_9,user9@example.com,Online Job Fraud,2025-03-09,18:00 AM,City_4,Sample complaint 9 about online job fraud.
User_10,user10@example.com,Online Job Fraud,2025-03-10,19:00 AM,City_5,Sample complaint 10 about online job fraud.
User_1,user1@example.com,Online Trafficking,2025-03-01,10:00 AM,City_1,Sample complaint 1 about online trafficking.
User_2,user2@example.com,Online Trafficking,2025-03-02,11:00 AM,City_2,Sample complaint 2 about online trafficking.
User_3,user3@example.com,Online Trafficking,2025-03-03,12:00 AM,City_3,Sample complaint 3 about online trafficking.
User_4,user4@example.com,Online Trafficking,2025-03-04,13:00 AM,City_4,Sample complaint 4 about online trafficking.
User_5,user5@example.com,Online Trafficking,2025-03-05,14:00 AM,City_5,Sample complaint 5 about online trafficking.
User_6,user6@example.com,Online Trafficking,2025-03-06,15:00 AM,City_1,Sample complaint 6 about online trafficking.
User_7,user7@example.com,Online Trafficking,2025-03-07,16:00 AM,City_2,Sample complaint 7 about online trafficking.
User_8,user8@example.com,Online Trafficking,2025-03-08,17:00 AM,City_3,Sample complaint 8 about online trafficking.
User_9,user9@example.com,Online Trafficking,2025-03-09,18:00 AM,City_4,Sample complaint 9 about online trafficking.
User_10,user10@example.com,Online Trafficking,2025-03-10,19:00 AM,City_5,Sample complaint 10 about online trafficking.
User_1,user1@example.com,Profile Hacking,2025-03-01,10:00 AM,City_1,Sample complaint 1 about profile hacking.
User_2,user2@example.com,Profile Hacking,2025-03-02,11:00 AM,City_2,Sample complaint 2 about profile hacking.
User_3,user3@example.com,Profile Hacking,2025-03-03,12:00 AM,City_3,Sample complaint 3 about profile hacking.
User_4,user4@example.com,Profile Hacking,2025-03-04,13:00 AM,City_4,Sample complaint 4 about profile hacking.
User_5,user5@example.com,Profile Hacking,2025-03-05,14:00 AM,City_5,Sample complaint 5 about profile hacking.
User_6,user6@example.com,Profile Hacking,2025-03-06,15:00 AM,City_1,Sample complaint 6 about profile hacking.
User_7,user7@example.com,Profile Hacking,2025-03-07,16:00 AM,City_2,Sample complaint 7 about profile hacking.
User_8,user8@example.com,Profile Hacking,2025-03-08,17:00 AM,City_3,Sample complaint 8 about profile hacking.
User_9,user9@example.com,Profile Hacking,2025-03-09,18:00 AM,City_4,Sample complaint 9 about profile hacking.
User_10,user10@example.com,Profile Hacking,2025-03-10,19:00 AM,City_5,Sample complaint 10 about profile hacking.
User_1,user1@example.com,Provocative Speech,2025-03-01,10:00 AM,City_1,Sample complaint 1 about provocative speech.
User_2,user2@example.com,Provocative Speech,2025-03-02,11:00 AM,City_2,Sample complaint 2 about provocative speech.
User_3,user3@example.com,Provocative Speech,2025-03-03,12:00 AM,City_3,Sample complaint 3 about provocative speech.
User_4,user4@example.com,Provocative Speech,2025-03-04,13:00 AM,City_4,Sample complaint 4 about provocative speech.
User_5,user5@example.com,Provocative Speech,2025-03-05,14:00 AM,City_5,Sample complaint 5 about provocative speech.
User_6,user6@example.com,Provocative Speech,2025-03-06,15:00 AM,City_1,Sample complaint 6 about provocative speech.
User_7,user7@example.com,Provocative Speech,2025-03-07,16:00 AM,City_2,Sample complaint 7 about provocative speech.
User_8,user8@example.com,Provocative Speech,2025-03-08,17:00 AM,City_3,Sample complaint 8 about provocative speech.
User_9,user9@example.com,Provocative Speech,2025-03-09,18:00 AM,City_4,Sample complaint 9 about provocative speech.
User_10,user10@example.com,Provocative Speech,2025-03-10,19:00 AM,City_5,Sample complaint 10 about provocative speech.
User_1,user1@example.com,Ransomware,2025-03-01,10:00 AM,City_1,Sample complaint 1 about ransomware.
User_2,user2@example.com,Ransomware,2025-03-02,11:00 AM,City_2,Sample complaint 2 about ransomware.
User_3,user3@example.com,Ransomware,2025-03-03,12:00 AM,City_3,Sample complaint 3 about ransomware.
User_4,user4@example.com,Ransomware,2025-03-04,13:00 AM,City_4,Sample complaint 4 about ransomware.
User_5,user5@example.com,Ransomware,2025-03-05,14:00 AM,City_5,Sample complaint 5 about ransomware.
User_6,user6@example.com,Ransomware,2025-03-06,15:00 AM,City_1,Sample complaint 6 about ransomware.
User_7,user7@example.com,Ransomware,2025-03-07,16:00 AM,City_2,Sample complaint 7 about ransomware.
User_8,user8@example.com,Ransomware,2025-03-08,17:00 AM,City_3,Sample complaint 8 about ransomware.
User_9,user9@example.com,Ransomware,2025-03-09,18:00 AM,City_4,Sample complaint 9 about ransomware.
User_10,user10@example.com,Ransomware,2025-03-10,19:00 AM,City_5,Sample complaint 10 about ransomware.
User_1,user1@example.com,Unauthorized Access/Data Breach,2025-03-01,10:00 AM,City_1,Sample complaint 1 about unauthorized access/data breach.
User_2,user2@example.com,Unauthorized Access/Data Breach,2025-03-02,11:00 AM,City_2,Sample complaint 2 about unauthorized access/data breach.
User_3,user3@example.com,Unauthorized Access/Data Breach,2025-03-03,12:00 AM,City_3,Sample complaint 3 about unauthorized access/data breach.
User_4,user4@example.com,Unauthorized Access/Data Breach,2025-03-04,13:00 AM,City_4,Sample complaint 4 about unauthorized access/data breach.
User_5,user5@example.com,Unauthorized Access/Data Breach,2025-03-05,14:00 AM,City_5,Sample complaint 5 about unauthorized access/data breach.
User_6,user6@example.com,Unauthorized Access/Data Breach,2025-03-06,15:00 AM,City_1,Sample complaint 6 about unauthorized access/data breach.
User_7,user7@example.com,Unauthorized Access/Data Breach,2025-03-07,16:00 AM,City_2,Sample complaint 7 about unauthorized access/data breach.
User_8,user8@example.com,Unauthorized Access/Data Breach,2025-03-08,17:00 AM,City_3,Sample complaint 8 about unauthorized access/data breach.
User_9,user9@example.com,Unauthorized Access/Data Breach,2025-03-09,18:00 AM,City_4,Sample complaint 9 about unauthorized access/data breach.
User_10,user10@example.com,Unauthorized Access/Data Breach,2025-03-10,19:00 AM,City_5,Sample complaint 10 about unauthorized access/data breach.
User_1,user1@example.com,Website Related/Defacement,2025-03-01,10:00 AM,City_1,Sample complaint 1 about website related/defacement.
User_2,user2@example.com,Website Related/Defacement,2025-03-02,11:00 AM,City_2,Sample complaint 2 about website related/defacement.
User_3,user3@example.com,Website Related/Defacement,2025-03-03,12:00 AM,City_3,Sample complaint 3 about website related/defacement.
User_4,user4@example.com,Website Related/Defacement,2025-03-04,13:00 AM,City_4,Sample complaint 4 about website related/defacement.
User_5,user5@example.com,Website Related/Defacement,2025-03-05,14:00 AM,City_5,Sample complaint 5 about website related/defacement.
User_6,user6@example.com,Website Related/Defacement,2025-03-06,15:00 AM,City_1,Sample complaint 6 about website related/defacement.
User_7,user7@example.com,Website Related/Defacement,2025-03-07,16:00 AM,City_2,Sample complaint 7 about website related/defacement.
User_8,user8@example.com,Website Related/Defacement,2025-03-08,17:00 AM,City_3,Sample complaint 8 about website related/defacement.
User_9,user9@example.com,Website Related/Defacement,2025-03-09,18:00 AM,City_4,Sample complaint 9 about website related/defacement.
User_10,user10@example.com,Website Related/Defacement,2025-03-10,19:00 AM,City_5,Sample complaint 10 about website related/defacement.
